studyid,site,treatment,start_date,measurement_date,response,units,value,upper se,se,exposure time,n,source,notes,clean_response,std_time,clean_value,mortality_rate,lifestage,collection_date,sample size (reps),planting density (shoots / area),tank volume (L),light hours,dark hours,surface_irradiance,si_units,penetrating irradiance,pi_units,%SI,mean DLI (mol m-2day-1),temperature_c,salinity_psu,pH,turbidity (NTU),NO3 addition,target NO3,measured NO3,NH4 addition,target NH4,measured NH4,measured DIN,added PO4,measured PO4,grain size (µM),DIC,% organic matter,Fe content,sulphide,driver notes,other covariates,light-temperature,exp setup,seasonal data?,pen_light,surface_light,light_hours,mean_dli,author,pub_year,lat,lon,DLI,clean_temp,parsed_collection_date,lambda,initial_density,prop_change,pop_growth,suncalc_light_hours,suncalc_DLI,seasonal_mean_dli,seasonal_mean_temp,temp_bin,dli_bin,net_growth,pop_growth_rate,season
103,"Lillebælt, Island of Fyn, Denmark",19 + C,np,np,shoot survival,proportion,0.947370688304771,1.00097512453397,0.053604436229199026,21 days,3,Figure 3,"mortality = ""Z. marina mortality was assessed by deploying a weight of 26 g to the shoots. Z. marina shoots usually show signs of mortality by a softening in the transi- tion region between the above and below-ground parts (Greve et al., 2003). Only plants able to resist the weight were considered as a survivor""",shoot mortality,21,0.052629311695229,0.0025061576997728093,adult,np,3,mean: 27.5 / (0.14 m2); range: 25 to 30 / (0.14 m2),np,12,12,120,µmol photos m-2 s-1,np,np,NA,NA,19,np,np,np,np,np,np,np,np,np,didn't check,NA,NA,np,np,0.32 ± 0.29,5 µmol cm3,NA,120 was minimum light; used study 97 Fe because same source sediments and authors; missing salinity and grain size can probably be imputed using study 97 data,NA,temperature,lab mesocosm,no,NA,120,12,NA,Martinez-Luscher_Holmer,2010,55.5,9.6666667,5.184,19,NA,0.947370688304771,NA,NA,-0.052629311695229,NA,NA,NA,NA,"(13.3,21.7]",>5 DLI <=10,NA,-0.0025061576997728093,NA
103,"Lillebælt, Island of Fyn, Denmark",19 + LG,np,np,shoot survival,proportion,0.854291331182054,1.00031720918575,0.14602587800369604,21 days,3,Figure 3,"mortality = ""Z. marina mortality was assessed by deploying a weight of 26 g to the shoots. Z. marina shoots usually show signs of mortality by a softening in the transi- tion region between the above and below-ground parts (Greve et al., 2003). Only plants able to resist the weight were considered as a survivor""",shoot mortality,21,0.14570866881794597,0.006938508038949808,adult,np,3,mean: 27.5 / (0.14 m2); range: 25 to 30 / (0.14 m2),np,12,12,120,µmol photos m-2 s-1,np,np,NA,NA,19,np,np,np,np,np,np,np,np,np,didn't check,NA,NA,np,np,0.32 ± 0.29,5 µmol cm3,NA,120 was minimum light; used study 97 Fe because same source sediments and authors; missing salinity and grain size can probably be imputed using study 97 data,gracilaria addition,temperature; gracilaria,lab mesocosm,no,NA,120,12,NA,Martinez-Luscher_Holmer,2010,55.5,9.6666667,5.184,19,NA,0.854291331182054,NA,NA,-0.14570866881794597,NA,NA,NA,NA,"(13.3,21.7]",>5 DLI <=10,NA,-0.006938508038949808,NA
103,"Lillebælt, Island of Fyn, Denmark",19 + HG,np,np,shoot survival,proportion,0.7492089351170149,0.9608501206178139,0.21164118550079905,21 days,3,Figure 3,"mortality = ""Z. marina mortality was assessed by deploying a weight of 26 g to the shoots. Z. marina shoots usually show signs of mortality by a softening in the transi- tion region between the above and below-ground parts (Greve et al., 2003). Only plants able to resist the weight were considered as a survivor""",shoot mortality,21,0.2507910648829851,0.011942431661094528,adult,np,3,mean: 27.5 / (0.14 m2); range: 25 to 30 / (0.14 m2),np,12,12,120,µmol photos m-2 s-1,np,np,NA,NA,19,np,np,np,np,np,np,np,np,np,didn't check,NA,NA,np,np,0.32 ± 0.29,5 µmol cm3,NA,120 was minimum light; used study 97 Fe because same source sediments and authors; missing salinity and grain size can probably be imputed using study 97 data,gracilaria addition,temperature; gracilaria,lab mesocosm,no,NA,120,12,NA,Martinez-Luscher_Holmer,2010,55.5,9.6666667,5.184,19,NA,0.7492089351170149,NA,NA,-0.2507910648829851,NA,NA,NA,NA,"(13.3,21.7]",>5 DLI <=10,NA,-0.011942431661094528,NA
103,"Lillebælt, Island of Fyn, Denmark",23.5 + C,np,np,shoot survival,proportion,0.9661643535198471,1.00221263197468,0.036048278454832994,21 days,3,Figure 3,"mortality = ""Z. marina mortality was assessed by deploying a weight of 26 g to the shoots. Z. marina shoots usually show signs of mortality by a softening in the transi- tion region between the above and below-ground parts (Greve et al., 2003). Only plants able to resist the weight were considered as a survivor""",shoot mortality,21,0.033835646480152914,0.0016112212609596627,adult,np,3,mean: 27.5 / (0.14 m2); range: 25 to 30 / (0.14 m2),np,12,12,120,µmol photos m-2 s-1,np,np,NA,NA,23.5,np,np,np,np,np,np,np,np,np,didn't check,NA,NA,np,np,0.32 ± 0.29,5 µmol cm3,NA,120 was minimum light; used study 97 Fe because same source sediments and authors; missing salinity and grain size can probably be imputed using study 97 data,NA,temperature,lab mesocosm,no,NA,120,12,NA,Martinez-Luscher_Holmer,2010,55.5,9.6666667,5.184,23.5,NA,0.9661643535198471,NA,NA,-0.033835646480152914,NA,NA,NA,NA,"(21.7,30]",>5 DLI <=10,NA,-0.0016112212609596627,NA
103,"Lillebælt, Island of Fyn, Denmark",23.5 + LG,np,np,shoot survival,proportion,0.824109464582223,1.0006344183715,0.17652495378927696,21 days,3,Figure 3,"mortality = ""Z. marina mortality was assessed by deploying a weight of 26 g to the shoots. Z. marina shoots usually show signs of mortality by a softening in the transi- tion region between the above and below-ground parts (Greve et al., 2003). Only plants able to resist the weight were considered as a survivor""",shoot mortality,21,0.175890535417777,0.008375739781798905,adult,np,3,mean: 27.5 / (0.14 m2); range: 25 to 30 / (0.14 m2),np,12,12,120,µmol photos m-2 s-1,np,np,NA,NA,23.5,np,np,np,np,np,np,np,np,np,didn't check,NA,NA,np,np,0.32 ± 0.29,5 µmol cm3,NA,120 was minimum light; used study 97 Fe because same source sediments and authors; missing salinity and grain size can probably be imputed using study 97 data,gracilaria addition,temperature; gracilaria,lab mesocosm,no,NA,120,12,NA,Martinez-Luscher_Holmer,2010,55.5,9.6666667,5.184,23.5,NA,0.824109464582223,NA,NA,-0.175890535417777,NA,NA,NA,NA,"(21.7,30]",>5 DLI <=10,NA,-0.008375739781798905,NA
103,"Lillebælt, Island of Fyn, Denmark",23.5 + HG,np,np,shoot survival,proportion,0.7920360913562451,1.00089680127823,0.20886070992198497,21 days,3,Figure 3,"mortality = ""Z. marina mortality was assessed by deploying a weight of 26 g to the shoots. Z. marina shoots usually show signs of mortality by a softening in the transi- tion region between the above and below-ground parts (Greve et al., 2003). Only plants able to resist the weight were considered as a survivor""",shoot mortality,21,0.2079639086437549,0.009903043268750234,adult,np,3,mean: 27.5 / (0.14 m2); range: 25 to 30 / (0.14 m2),np,12,12,120,µmol photos m-2 s-1,np,np,NA,NA,23.5,np,np,np,np,np,np,np,np,np,didn't check,NA,NA,np,np,0.32 ± 0.29,5 µmol cm3,NA,120 was minimum light; used study 97 Fe because same source sediments and authors; missing salinity and grain size can probably be imputed using study 97 data,gracilaria addition,temperature; gracilaria,lab mesocosm,no,NA,120,12,NA,Martinez-Luscher_Holmer,2010,55.5,9.6666667,5.184,23.5,NA,0.7920360913562451,NA,NA,-0.2079639086437549,NA,NA,NA,NA,"(21.7,30]",>5 DLI <=10,NA,-0.009903043268750234,NA
103,"Lillebælt, Island of Fyn, Denmark",26 + C,np,np,shoot survival,proportion,0.980344778971772,0.991431435821924,0.011086656850151968,21 days,3,Figure 3,"mortality = ""Z. marina mortality was assessed by deploying a weight of 26 g to the shoots. Z. marina shoots usually show signs of mortality by a softening in the transi- tion region between the above and below-ground parts (Greve et al., 2003). Only plants able to resist the weight were considered as a survivor""",shoot mortality,21,0.01965522102822803,9.359629061060968e-4,adult,np,3,mean: 27.5 / (0.14 m2); range: 25 to 30 / (0.14 m2),np,12,12,120,µmol photos m-2 s-1,np,np,NA,NA,26,np,np,np,np,np,np,np,np,np,didn't check,NA,NA,np,np,0.32 ± 0.29,5 µmol cm3,NA,120 was minimum light; used study 97 Fe because same source sediments and authors; missing salinity and grain size can probably be imputed using study 97 data,NA,temperature,lab mesocosm,no,NA,120,12,NA,Martinez-Luscher_Holmer,2010,55.5,9.6666667,5.184,26,NA,0.980344778971772,NA,NA,-0.01965522102822803,NA,NA,NA,NA,"(21.7,30]",>5 DLI <=10,NA,-9.359629061060968e-4,NA
103,"Lillebælt, Island of Fyn, Denmark",26 + LG,np,np,shoot survival,proportion,0.6589805445032739,0.702426454462859,0.043445909959585124,21 days,3,Figure 3,"mortality = ""Z. marina mortality was assessed by deploying a weight of 26 g to the shoots. Z. marina shoots usually show signs of mortality by a softening in the transi- tion region between the above and below-ground parts (Greve et al., 2003). Only plants able to resist the weight were considered as a survivor""",shoot mortality,21,0.3410194554967261,0.01623902169032029,adult,np,3,mean: 27.5 / (0.14 m2); range: 25 to 30 / (0.14 m2),np,12,12,120,µmol photos m-2 s-1,np,np,NA,NA,26,np,np,np,np,np,np,np,np,np,didn't check,NA,NA,np,np,0.32 ± 0.29,5 µmol cm3,NA,120 was minimum light; used study 97 Fe because same source sediments and authors; missing salinity and grain size can probably be imputed using study 97 data,gracilaria addition,temperature; gracilaria,lab mesocosm,no,NA,120,12,NA,Martinez-Luscher_Holmer,2010,55.5,9.6666667,5.184,26,NA,0.6589805445032739,NA,NA,-0.3410194554967261,NA,NA,NA,NA,"(21.7,30]",>5 DLI <=10,NA,-0.01623902169032029,NA
103,"Lillebælt, Island of Fyn, Denmark",26 + HG,np,np,shoot survival,proportion,0.215643503869169,0.26184639243084,0.046202888561671006,21 days,3,Figure 3,"mortality = ""Z. marina mortality was assessed by deploying a weight of 26 g to the shoots. Z. marina shoots usually show signs of mortality by a softening in the transi- tion region between the above and below-ground parts (Greve et al., 2003). Only plants able to resist the weight were considered as a survivor""",shoot mortality,21,0.784356496130831,0.03735030933956338,adult,np,3,mean: 27.5 / (0.14 m2); range: 25 to 30 / (0.14 m2),np,12,12,120,µmol photos m-2 s-1,np,np,NA,NA,26,np,np,np,np,np,np,np,np,np,didn't check,NA,NA,np,np,0.32 ± 0.29,5 µmol cm3,NA,120 was minimum light; used study 97 Fe because same source sediments and authors; missing salinity and grain size can probably be imputed using study 97 data,gracilaria addition,temperature; gracilaria,lab mesocosm,no,NA,120,12,NA,Martinez-Luscher_Holmer,2010,55.5,9.6666667,5.184,26,NA,0.21564350386916897,NA,NA,-0.784356496130831,NA,NA,NA,NA,"(21.7,30]",>5 DLI <=10,NA,-0.03735030933956338,NA
103,"Lillebælt, Island of Fyn, Denmark",30 + C,np,np,shoot survival,proportion,0.510225101037,0.657175193458441,0.14695009242144097,21 days,3,Figure 3,"mortality = ""Z. marina mortality was assessed by deploying a weight of 26 g to the shoots. Z. marina shoots usually show signs of mortality by a softening in the transi- tion region between the above and below-ground parts (Greve et al., 2003). Only plants able to resist the weight were considered as a survivor""",shoot mortality,21,0.48977489896299997,0.023322614236333333,adult,np,3,mean: 27.5 / (0.14 m2); range: 25 to 30 / (0.14 m2),np,12,12,120,µmol photos m-2 s-1,np,np,NA,NA,30,np,np,np,np,np,np,np,np,np,didn't check,NA,NA,np,np,0.32 ± 0.29,5 µmol cm3,NA,120 was minimum light; used study 97 Fe because same source sediments and authors; missing salinity and grain size can probably be imputed using study 97 data,NA,temperature,lab mesocosm,no,NA,120,12,NA,Martinez-Luscher_Holmer,2010,55.5,9.6666667,5.184,30,NA,0.510225101037,NA,NA,-0.48977489896299997,NA,NA,NA,NA,"(21.7,30]",>5 DLI <=10,NA,-0.023322614236333333,NA
