/* DATA DESCRIPTION:
Citation:	Brakel, Janina (2016): Zostera marina gene expression of Labyrinthula zosterae inoculated plants at two nutrient levels. PANGAEA, https://doi.org/10.1594/PANGAEA.869860, 
	In supplement to: Brakel, Janina; Reusch, Thorsten B H; Bockelmann, Anna-Christina (2017): Moderate virulence caused by the protist Labyrinthula zosterae in ecosystem foundation species Zostera marina under nutrient limitation. Marine Ecology Progress Series, 571, 97-108, https://doi.org/10.3354/meps12104
Coverage:	DATE/TIME START: 2013-09-06T00:00:00 * DATE/TIME END: 2013-09-24T00:00:00
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Brakel, Janina (janina.brakel@sams.ac.uk)
	Species (Species) * PI: Brakel, Janina (janina.brakel@sams.ac.uk)
	Identification (ID) * PI: Brakel, Janina (janina.brakel@sams.ac.uk)
	Treatment: nutrients (T:nutrients) * PI: Brakel, Janina (janina.brakel@sams.ac.uk) * COMMENT: initial mean ammonium concentration porewater [µmol/l]
	Treatment (Treat) * PI: Brakel, Janina (janina.brakel@sams.ac.uk) * COMMENT: inoculation with Labyrinthula zosterae
	Mesocosm label (Meso label) * PI: Brakel, Janina (janina.brakel@sams.ac.uk)
	Time in days [days] (Time) * PI: Brakel, Janina (janina.brakel@sams.ac.uk) * COMMENT: post inoculation
	Labyrinthula zosterae, cell n [#/mg] (L. zosterae cell num) * PI: Brakel, Janina (janina.brakel@sams.ac.uk) * COMMENT: per Zostera leaf dry weight
	Threshold cycle, quantitative polymerase chain reaction (Ct qPCR) * PI: Brakel, Janina (janina.brakel@sams.ac.uk) * COMMENT: Superoxide dismutase (mitochondrial)
	Threshold cycle, quantitative polymerase chain reaction (Ct qPCR) * PI: Brakel, Janina (janina.brakel@sams.ac.uk) * COMMENT: Rubisco
	Threshold cycle, quantitative polymerase chain reaction (Ct qPCR) * PI: Brakel, Janina (janina.brakel@sams.ac.uk) * COMMENT: NB-ARC domain-containing disease resistance gene
	Threshold cycle, quantitative polymerase chain reaction (Ct qPCR) * PI: Brakel, Janina (janina.brakel@sams.ac.uk) * COMMENT: Metacaspase
	Threshold cycle, quantitative polymerase chain reaction (Ct qPCR) * PI: Brakel, Janina (janina.brakel@sams.ac.uk) * COMMENT: Heat shock protein 80
	Threshold cycle, quantitative polymerase chain reaction (Ct qPCR) * PI: Brakel, Janina (janina.brakel@sams.ac.uk) * COMMENT: Heat shock protein 70
	Threshold cycle, quantitative polymerase chain reaction (Ct qPCR) * PI: Brakel, Janina (janina.brakel@sams.ac.uk) * COMMENT: Glutathione S-transferase
	Threshold cycle, quantitative polymerase chain reaction (Ct qPCR) * PI: Brakel, Janina (janina.brakel@sams.ac.uk) * COMMENT: Fructose biphosphate aldolase
	Threshold cycle, quantitative polymerase chain reaction (Ct qPCR) * PI: Brakel, Janina (janina.brakel@sams.ac.uk) * COMMENT: Chlorophyll synthase
	Threshold cycle, quantitative polymerase chain reaction (Ct qPCR) * PI: Brakel, Janina (janina.brakel@sams.ac.uk) * COMMENT: Chitinase 1-like protein
	Threshold cycle, quantitative polymerase chain reaction (Ct qPCR) * PI: Brakel, Janina (janina.brakel@sams.ac.uk) * COMMENT: L-ascorbate peroxidase 2 (cytosolic)
	Threshold cycle, quantitative polymerase chain reaction (Ct qPCR) * PI: Brakel, Janina (janina.brakel@sams.ac.uk) * COMMENT: Disease resistance-responsive protein 206
	Threshold cycle, quantitative polymerase chain reaction (Ct qPCR) * PI: Brakel, Janina (janina.brakel@sams.ac.uk) * COMMENT: Trans-cinnamate 4-monooxygenase
	Threshold cycle, quantitative polymerase chain reaction (Ct qPCR) * PI: Brakel, Janina (janina.brakel@sams.ac.uk) * COMMENT: Starch synthase
	Threshold cycle, quantitative polymerase chain reaction (Ct qPCR) * PI: Brakel, Janina (janina.brakel@sams.ac.uk) * COMMENT: Catalase II
	Threshold cycle, quantitative polymerase chain reaction (Ct qPCR) * PI: Brakel, Janina (janina.brakel@sams.ac.uk) * COMMENT: Eukaryotic initiation factor
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	1591 data points
*/
Date/Time	Species	ID	T:nutrients (initial mean ammonium concent...)	Treat (inoculation with Labyrinthula...)	Meso label	Time [days] (post inoculation)	L. zosterae cell num [#/mg] (per Zostera leaf dry weight)	Ct qPCR (Superoxide dismutase (mitocho...)	Ct qPCR (Rubisco)	Ct qPCR (NB-ARC domain-containing dise...)	Ct qPCR (Metacaspase)	Ct qPCR (Heat shock protein 80)	Ct qPCR (Heat shock protein 70)	Ct qPCR (Glutathione S-transferase)	Ct qPCR (Fructose biphosphate aldolase)	Ct qPCR (Chlorophyll synthase)	Ct qPCR (Chitinase 1-like protein)	Ct qPCR (L-ascorbate peroxidase 2 (cyt...)	Ct qPCR (Disease resistance-responsive...)	Ct qPCR (Trans-cinnamate 4-monooxygenase)	Ct qPCR (Starch synthase)	Ct qPCR (Catalase II)	Ct qPCR (Eukaryotic initiation factor)
2013-09-06	Zostera marina	10A36	6	no	10	2	114.010457900	15.24322292	16.85405105	16.99837837	19.18042904	21.28525153	14.24575869	12.669544500	18.73523119	17.13188464	16.63640772	15.45168480	17.78361698		14.041706390	15.00364314	16.40208041
2013-09-06	Zostera marina	10A38	6	no	10	2	33.935089430	13.52549913	14.74567052	15.64451207	17.61619692	21.05904070	13.19397924	10.692702770	15.46706102	15.22193264	13.81051216	14.55038487	15.44064504	20.48141185	10.632251730	14.12480964	14.60313131
2013-09-06	Zostera marina	10A46	6	no	10	2	57.654617310	12.76576013	16.86910604	15.40155058	16.67200697	20.95434089	13.78265022	8.138984422	16.06533157	15.91967080	12.02041216	13.91424366	12.62960359	17.36522470	9.796871852	14.22258175	14.43819861
2013-09-24	Zostera marina	10A55	6	no	10	20	0.000000000	15.50433974	18.08004324	17.61567771		18.52459688	16.08379114	12.298357490	18.14708342	17.89726564	16.11265274	15.14419533	15.28489576	15.16623545	12.279166380	15.38213803	15.62203006
2013-09-24	Zostera marina	10A59	6	no	10	20	0.000000000	15.86899120	17.88024900	17.94383613	19.65457214	22.34996851	15.10991233	14.035991330	19.27955708	18.03262024	16.63866250	16.43143846	15.92760054	21.84680770	13.637052420	15.88487086	17.34122742
2013-09-24	Zostera marina	10A68	6	no	10	20	0.000000000	14.75136742	16.23181767	17.36440602	18.00626077		13.95999104	12.821367020	18.98393324	16.87587354	15.15100122	14.93407220	17.67313663	22.60377743	13.895109590	14.76323733	15.97845333
2013-09-06	Zostera marina	10B1	6	yes	10	2	42321.822620000	16.57402743	19.02045197	17.97614773	17.76761237	16.12009086	14.58102773	13.531583900	19.05821939	19.22293079	17.72348123	14.43622986	14.28569348	15.31893107	13.811853570	15.58370125	15.59304785
2013-09-06	Zostera marina	10B11	6	yes	10	2	18978.570880000	16.58821972	19.02799422	17.94738439	18.72068410	16.52949887	15.25778704	13.558244260	19.24049816	19.30534155	17.15382565	16.17363828	15.75703365	13.43979648	12.094501850	17.50623391	16.47241154
2013-09-24	Zostera marina	10B15	6	yes	10	20	0.000000000	12.94982102	14.65307237	15.61596372		20.78183010	16.86695760	10.053495940	16.76545208	14.90330578		13.16018284	13.56341803	20.19754267	11.627252340	12.96184550	14.04170200
2013-09-24	Zostera marina	10B25	6	yes	10	20	0.000000000	15.21111435	16.57267922	17.65880818	18.43461568	19.68475548	13.39677153	11.813597940	18.22910474	16.75759099	15.76266826	15.31009269	15.06517032	21.79842953	14.290314620	15.05233305	16.33029509
2013-09-24	Zostera marina	10B27	6	yes	10	20	0.000000000	15.70177401	16.50571761	16.99440614	19.01056508		14.16737050	12.341489630	18.58982275	17.13850171	16.01813325	16.17131973	15.87673915	20.05151792	12.328270830	15.42139365	16.27700720
2013-09-06	Zostera marina	10B5	6	yes	10	2	44338.630110000	18.49037667	20.17105493	22.50850916	19.78644411	18.24410667	15.92695082	14.139113400	20.85896237	21.95249155	20.53894895	16.15887856	15.65641047	15.17297503	15.826708630	17.52037813	16.55808727
2013-09-06	Zostera marina	11A39	57	yes	11	2	38035.735120000	16.76776493	20.20375633		17.82648645	16.50622050	14.38119024	13.534821670	20.95229841	19.06629494	18.27137391	14.97911151	14.95841788	15.08369221	12.552776900	16.53564618	15.68998948
2013-09-06	Zostera marina	11A44	57	yes	11	2	17903.756780000	15.89247740	17.08635879	19.05200098	17.76017248	16.36024321	14.92482996	10.763142380	18.81974455	17.62763640	14.91729114	13.85062201	13.73019599	14.30066478	11.999224890	14.67679062	15.12608438
2013-09-06	Zostera marina	11A48	57	yes	11	2	2671.419407000	15.43742337	17.25328175	17.05579551	17.23305388	14.42490716	13.01164224	10.965059180	17.64205243	17.02096185	16.13095597	13.33667978	14.02353071	14.19768127	10.667272480	15.01857090	14.39902585
2013-09-24	Zostera marina	11A56	57	yes	11	20	2.214155943	12.92535567	14.95475758	14.20761572	15.66301509	19.44795683	11.89856051	8.612269740	17.63129083	14.46012528	14.01709702	13.68098894	10.81024145	21.11515246	10.892915780	12.77343671	13.97405619
2013-09-24	Zostera marina	11A60	57	yes	11	20	1168.435646000	13.14209174	15.12500279	15.75142048	16.84564806	20.97512791	12.62945871	10.677255010	16.15233144	15.11073499	13.52317231	13.32881009	14.52955207	20.88885232	11.099861620	13.21105636	14.16077635
2013-09-24	Zostera marina	11A69	57	yes	11	20	1.107624835	14.92749060	16.27540967	17.29477702	16.65266499	13.69310433	10.93436304	11.169195350	17.47105544	17.32476479	15.96319336	13.16827664	13.66992731	11.95993574	11.852160820	14.50833135	14.41250205
2013-09-06	Zostera marina	11B14	57	no	11	2	10.284007700	16.48401958	18.27893701	19.28856452	19.71900061		16.13018877	11.458095170	18.21615926	17.38653630	16.50234619	17.57746372	17.83866912		12.678347390	15.78099723	16.56329136
2013-09-24	Zostera marina	11B18	57	no	11	20	0.000000000	14.82343830	16.35421170	16.24614818	18.14981104	23.42515459	14.15470457	11.636543920	18.49195279	16.01199848	15.83918610	15.57930172	15.46625947	22.80458403	11.750068480	14.44168599	15.56800537
2013-09-06	Zostera marina	11B2	57	no	11	2	54.675458120	12.49913891	13.78503660	15.52301356	16.07495952	18.27578092	12.08621249	9.894601692	15.28533896	14.41927971	12.79486103	12.91521568	15.00596075	19.65057291	10.853915900	12.55440113	14.00378871
2013-09-24	Zostera marina	11B26	57	no	11	20	2.932728239	14.29316296	14.97724202	16.64214497	16.51156373	19.53755432	12.78487778	9.128102224	16.58138012	16.31536978	14.02948967	12.57024993	12.76561151	15.58608813	11.333896300	13.16230418	14.01179138
2013-09-24	Zostera marina	11B32	57	no	11	20	1.247833818	16.47893175	17.04625783	18.42309230	20.03489539		16.13632630	15.029208890	19.30863592	18.02532676	17.18605868	18.40816657	19.65431476		13.211073540	16.61278317	17.95469729
2013-09-06	Zostera marina	11B6	57	no	11	2	26.826375830	15.10131768	16.04508099	17.56793698	17.78822459	20.57880961	13.97603907	12.301435140	18.85537246	17.52416411	14.23700694	14.30590670	14.35512964	19.51077495	12.494891830	14.55965305	15.72596923
