/* DATA DESCRIPTION:
Citation:	Brakel, Janina (2016): Zostera marina wasting disease index of Labyrinthula zosterae inoculated plants at two nutrient levels. PANGAEA, https://doi.org/10.1594/PANGAEA.869863, 
	In supplement to: Brakel, Janina; Reusch, Thorsten B H; Bockelmann, Anna-Christina (2017): Moderate virulence caused by the protist Labyrinthula zosterae in ecosystem foundation species Zostera marina under nutrient limitation. Marine Ecology Progress Series, 571, 97-108, https://doi.org/10.3354/meps12104
Coverage:	DATE/TIME START: 2013-09-05T00:00:00 * DATE/TIME END: 2013-09-24T00:00:00
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Brakel, Janina (janina.brakel@sams.ac.uk)
	Species (Species) * PI: Brakel, Janina (janina.brakel@sams.ac.uk)
	Identification (ID) * PI: Brakel, Janina (janina.brakel@sams.ac.uk)
	Treatment: nutrients (T:nutrients) * PI: Brakel, Janina (janina.brakel@sams.ac.uk) * COMMENT: initial mean ammonium concentration porewater [µmol/l]
	Treatment (Treat) * PI: Brakel, Janina (janina.brakel@sams.ac.uk) * COMMENT: inoculation with Labyrinthula zosterae
	Mesocosm label (Meso label) * PI: Brakel, Janina (janina.brakel@sams.ac.uk)
	Time in days [days] (Time) * PI: Brakel, Janina (janina.brakel@sams.ac.uk) * COMMENT: post inoculation
	Wasting disease index [%] (Wasting disease index) * PI: Brakel, Janina (janina.brakel@sams.ac.uk) * COMMENT: leaf 2
	Wasting disease index [%] (Wasting disease index) * PI: Brakel, Janina (janina.brakel@sams.ac.uk) * COMMENT: leaf 3
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	5172 data points
*/
Date/Time	Species	ID	T:nutrients (initial mean ammonium concent...)	Treat (inoculation with Labyrinthula...)	Meso label	Time [days] (post inoculation)	Wasting disease index [%] (leaf 2)	Wasting disease index [%] (leaf 3)
2013-09-05	Zostera marina	10A36	6	no	10	1	0	0
2013-09-05	Zostera marina	10A38	6	no	10	1	0	0
2013-09-05	Zostera marina	10A46	6	no	10	1	0	0
2013-09-05	Zostera marina	10A55	6	no	10	1	0	0
2013-09-05	Zostera marina	10A59	6	no	10	1	0	0
2013-09-05	Zostera marina	10A68	6	no	10	1	0	0
2013-09-05	Zostera marina	10B1	6	yes	10	1	1	1
2013-09-05	Zostera marina	10B11	6	yes	10	1	1	1
2013-09-05	Zostera marina	10B15	6	yes	10	1	1	1
2013-09-05	Zostera marina	10B25	6	yes	10	1	1	1
2013-09-05	Zostera marina	10B27	6	yes	10	1	1	1
2013-09-05	Zostera marina	10B5	6	yes	10	1	1	1
2013-09-05	Zostera marina	11A39	57	yes	11	1	1	1
2013-09-05	Zostera marina	11A44	57	yes	11	1	1	1
2013-09-05	Zostera marina	11A48	57	yes	11	1	1	1
2013-09-05	Zostera marina	11A56	57	yes	11	1	1	1
2013-09-05	Zostera marina	11A60	57	yes	11	1	1	1
2013-09-05	Zostera marina	11A69	57	yes	11	1	1	10
2013-09-05	Zostera marina	11B14	57	no	11	1	0	0
2013-09-05	Zostera marina	11B18	57	no	11	1	0	0
2013-09-05	Zostera marina	11B2	57	no	11	1	0	0
2013-09-05	Zostera marina	11B26	57	no	11	1	0	0
2013-09-05	Zostera marina	11B32	57	no	11	1	0	0
2013-09-05	Zostera marina	11B6	57	no	11	1	0	0
2013-09-05	Zostera marina	12A40	6	no	12	1	0	0
2013-09-05	Zostera marina	12A47	6	no	12	1	0	0
2013-09-05	Zostera marina	12A49	6	no	12	1	0	0
2013-09-05	Zostera marina	12A58	6	no	12	1	0	0
2013-09-05	Zostera marina	12A61	6	no	12	1	0	0
2013-09-05	Zostera marina	12A70	6	no	12	1	0	0
