studyid,site,treatment,start_date,measurement_date,response (formal name),units,value,upper se,se,exposure time,n,source,notes,date_interval,seasonal_mean_dli,seasonal_mean_temp
147,"Seal Bend, Elkhorn Slough, CA, USA",ambient L + 16 CO2,2001-02-01,2001-02-01,shoot density,count,64.0072940538675,np,NA,calculate,NA,Figure 9,NA,2001-02-01 UTC--2001-02-01 UTC,17.3674242424242,11.26189656976335
147,"Seal Bend, Elkhorn Slough, CA, USA",ambient L + 16 CO2,2001-02-01,2001-04-25,shoot density,count,91.2162506263193,np,NA,calculate,NA,Figure 9,NA,2001-02-01 UTC--2001-04-25 UTC,33.60902144993049,13.687738308704171
147,"Seal Bend, Elkhorn Slough, CA, USA",ambient L + 16 CO2,2001-04-25,2001-05-09,shoot density,count,72.8630393533919,np,NA,calculate,NA,Figure 9,NA,2001-04-25 UTC--2001-05-09 UTC,39.953608050198916,15.0985594443961
147,"Seal Bend, Elkhorn Slough, CA, USA",ambient L + 16 CO2,2001-05-09,2001-05-30,shoot density,count,92.243003704525,np,NA,calculate,NA,Figure 9,NA,2001-05-09 UTC--2001-05-30 UTC,42.05912883778492,15.806367189433379
147,"Seal Bend, Elkhorn Slough, CA, USA",ambient L + 16 CO2,2001-05-30,2001-06-13,shoot density,count,59.0018727976146,np,NA,calculate,NA,Figure 9,NA,2001-05-30 UTC--2001-06-13 UTC,51.59905435473614,16.532940180163962
147,"Seal Bend, Elkhorn Slough, CA, USA",ambient L + 16 CO2,2001-06-13,2001-07-18,shoot density,count,84.1573232136549,np,NA,calculate,NA,Figure 9,NA,2001-06-13 UTC--2001-07-18 UTC,38.16217302012752,16.20837949363959
147,"Seal Bend, Elkhorn Slough, CA, USA",ambient L + 16 CO2,2001-07-18,2001-08-30,shoot density,count,70.9378773317562,np,NA,calculate,NA,Figure 9,NA,2001-07-18 UTC--2001-08-30 UTC,33.85363946014048,15.41990601020707
147,"Seal Bend, Elkhorn Slough, CA, USA",ambient L + 16 CO2,2001-08-30,2001-10-14,shoot density,count,84.2856673484306,np,NA,calculate,NA,Figure 9,NA,2001-08-30 UTC--2001-10-14 UTC,23.30033287419646,15.115047172181932
147,"Seal Bend, Elkhorn Slough, CA, USA",ambient L + 16 CO2,2001-10-14,2001-12-09,shoot density,count,38.3384670987243,np,NA,calculate,NA,Figure 9,NA,2001-10-14 UTC--2001-12-09 UTC,13.677428172324124,10.85466601970593
147,"Seal Bend, Elkhorn Slough, CA, USA",ambient L + 16 CO2,2001-12-09,2002-01-10,shoot density,count,25.7607418907041,np,NA,calculate,NA,Figure 9,NA,2001-12-09 UTC--2002-01-10 UTC,13.157800456354135,10.641099145715764
147,"Seal Bend, Elkhorn Slough, CA, USA",ambient L + 16 CO2,2002-01-10,2002-01-27,shoot density,count,24.0922681386198,np,NA,calculate,NA,Figure 9,NA,2002-01-10 UTC--2002-01-27 UTC,22.24906406724584,NA
147,"Seal Bend, Elkhorn Slough, CA, USA",ambient L + 16 CO2,2002-01-27,2002-02-05,shoot density,count,20.8836647692269,np,NA,calculate,NA,Figure 9,NA,2002-01-27 UTC--2002-02-05 UTC,NA,NA
147,"Seal Bend, Elkhorn Slough, CA, USA",ambient L + 36 CO2,2001-02-01,2001-02-01,shoot density,count,64.0072940538675,np,NA,calculate,NA,Figure 9,NA,2001-02-01 UTC--2001-02-01 UTC,17.3674242424242,11.26189656976335
147,"Seal Bend, Elkhorn Slough, CA, USA",ambient L + 36 CO2,2001-02-01,2001-04-25,shoot density,count,130.874588272015,np,NA,calculate,NA,Figure 9,NA,2001-02-01 UTC--2001-04-25 UTC,33.60902144993049,13.687738308704171
147,"Seal Bend, Elkhorn Slough, CA, USA",ambient L + 36 CO2,2001-04-25,2001-05-08,shoot density,count,105.975826125526,np,NA,calculate,NA,Figure 9,NA,2001-04-25 UTC--2001-05-08 UTC,40.86507558098462,15.0985594443961
147,"Seal Bend, Elkhorn Slough, CA, USA",ambient L + 36 CO2,2001-05-08,2001-05-30,shoot density,count,114.318194885948,np,NA,calculate,NA,Figure 9,NA,2001-05-08 UTC--2001-05-30 UTC,42.05912883778492,15.779251282467555
147,"Seal Bend, Elkhorn Slough, CA, USA",ambient L + 36 CO2,2001-05-30,2001-06-14,shoot density,count,95.8366394782451,np,NA,calculate,NA,Figure 9,NA,2001-05-30 UTC--2001-06-14 UTC,50.23635981022341,16.532940180163962
147,"Seal Bend, Elkhorn Slough, CA, USA",ambient L + 36 CO2,2001-06-14,2001-07-18,shoot density,count,109.312773629695,np,NA,calculate,NA,Figure 9,NA,2001-06-14 UTC--2001-07-18 UTC,37.74799765330064,16.20837949363959
147,"Seal Bend, Elkhorn Slough, CA, USA",ambient L + 36 CO2,2001-07-18,2001-08-30,shoot density,count,105.205761316872,np,NA,calculate,NA,Figure 9,NA,2001-07-18 UTC--2001-08-30 UTC,33.85363946014048,15.41990601020707
147,"Seal Bend, Elkhorn Slough, CA, USA",ambient L + 36 CO2,2001-08-30,2001-10-14,shoot density,count,96.2216718825722,np,NA,calculate,NA,Figure 9,NA,2001-08-30 UTC--2001-10-14 UTC,23.30033287419646,15.115047172181932
