studyid,site,treatment,start_date,measurement_date,response (formal name),units,value,upper se,se,exposure time,n,source,notes,numeric_start,numeric_end,seasonal_mean_dli,seasonal_mean_temp
152,"Koje Bay, South Korea",Koje,2001-06-23,2001-06-23,shoot density,count,163.631205673758,204.182821118991,40.55161544523301,calculate,5,Figure 6A,"n = 4 - 6, so used 5",11496,11496,NA,NA
152,"Koje Bay, South Korea",Koje,2001-06-23,2001-07-25,shoot density,count,169.872340425531,192.110760879082,22.238420453550987,calculate,5,Figure 6A,"n = 4 - 6, so used 5",11496,11528,NA,22.0355515878507
152,"Koje Bay, South Korea",Koje,2001-07-25,2001-08-29,shoot density,count,110.86524822695,140.123194116101,29.25794588915099,calculate,5,Figure 6A,"n = 4 - 6, so used 5",11528,11563,NA,24.365014008717228
152,"Koje Bay, South Korea",Koje,2001-08-29,2001-09-27,shoot density,count,72.8510638297871,82.116014359513,9.264950529725908,calculate,5,Figure 6A,"n = 4 - 6, so used 5",11563,11592,NA,24.369427964510134
152,"Koje Bay, South Korea",Koje,2001-09-27,2001-11-14,shoot density,count,33.7021276595744,42.1676735837491,8.465545924174698,calculate,5,Figure 6A,"n = 4 - 6, so used 5",11592,11640,NA,20.11454071515796
152,"Koje Bay, South Korea",Koje,2001-11-14,2001-12-13,shoot density,count,69.4468085106382,82.3896331319498,12.942824621311587,calculate,5,Figure 6A,"n = 4 - 6, so used 5",11640,11669,NA,14.994642035160886
152,"Koje Bay, South Korea",Koje,2001-12-13,2002-01-15,shoot density,count,73.418439716312,102.090184747395,28.671745031083006,calculate,5,Figure 6A,"n = 4 - 6, so used 5",11669,11702,NA,11.246215924642966
152,"Koje Bay, South Korea",Koje,2002-01-15,2002-02-13,shoot density,count,89.304964539007,99.9012345679011,10.596270028894097,calculate,5,Figure 6A,"n = 4 - 6, so used 5",11702,11731,NA,10.229231155800088
152,"Koje Bay, South Korea",Koje,2002-02-13,2002-03-16,shoot density,count,105.758865248226,124.25330531477,18.494440066544,calculate,5,Figure 6A,"n = 4 - 6, so used 5",11731,11762,NA,11.242488497325938
152,"Koje Bay, South Korea",Koje,2002-03-16,2002-04-14,shoot density,count,143.205673758865,176.788109622624,33.582435863759,calculate,5,Figure 6A,"n = 4 - 6, so used 5",11762,11791,NA,13.57140161192915
