studyid,site,treatment,start_date,measurement_date,response (formal name),units,value,upper se,se,exposure time,n,source,notes,numeric_start,numeric_end,seasonal_mean_dli
371,"Port l’Hebert Bay, Nova Scotia",Control,2017-06-15,2017-06-15,shoot density,shoots / m2,420.218411427782,422.310399558346,2.0919881305640047,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17332,17332,7.2576
371,"Port l’Hebert Bay, Nova Scotia",Control,2017-06-15,2017-07-13,shoot density,shoots / m2,440.591746601338,453.849630805327,13.257884203989022,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17332,17360,7.2576
371,"Port l’Hebert Bay, Nova Scotia",Control,2017-07-13,2017-08-10,shoot density,shoots / m2,462.360430612104,499.3382099234,36.97777931129599,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17360,17388,7.2576
371,"Port l’Hebert Bay, Nova Scotia",Control,2017-08-10,2017-09-07,shoot density,shoots / m2,431.102753433165,456.220067628182,25.117314195017002,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17388,17416,7.2576
371,"Port l’Hebert Bay, Nova Scotia",Control,2017-09-07,2017-10-05,shoot density,shoots / m2,452.87247256918,481.478158857221,28.605686288041,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17416,17444,7.2576
371,"Port l’Hebert Bay, Nova Scotia",Control,2017-10-05,2017-11-02,shoot density,shoots / m2,400.687668207853,436.265958180939,35.57828997308599,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17444,17472,7.2576
371,"Port l’Hebert Bay, Nova Scotia",Control,2017-11-02,2017-11-30,shoot density,shoots / m2,398.025731556994,416.328802765851,18.303071208856977,calculate,6,Figure 3,SE is actually upper IQ range and is not symmetrical,17472,17500,7.2576
371,"Port l’Hebert Bay, Nova Scotia",EL40 - 4 shade:3no shade,2017-06-15,2017-06-15,shoot density,shoots / m2,399.314313786202,416.074878871904,16.760565085702012,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17332,17332,4.870656
371,"Port l’Hebert Bay, Nova Scotia",EL40 - 4 shade:3no shade,2017-06-15,2017-07-13,shoot density,shoots / m2,437.588889254065,447.368739696976,9.77985044291097,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17332,17360,5.858356965517242
371,"Port l’Hebert Bay, Nova Scotia",EL40 - 4 shade:3no shade,2017-07-13,2017-08-10,shoot density,shoots / m2,403.223970649032,422.084147052362,18.86017640333,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17360,17388,5.858356965517242
