studyid,site,treatment,collection_date,sample size (reps),planting density (shoots / area),tank volume (L),light hours,dark hours,surface_irradiance,si_units,penetrating irradiance,pi_units,%SI,mean DLI (mol m-2day-1),temperature_c,salinity_psu,pH,turbidity (NTU),NO3 addition,target NO3,measured NO3,NH4 addition,target NH4,measured NH4,measured DIN,added PO4,measured PO4,grain size (µM),DIC,% organic matter,Fe content,sulphide,driver notes,other covariates,light-temperature,exp setup,seasonal data?,pen_light,surface_light,light_hours,mean_dli,author,pub_year,lat,lon,DLI,clean_temp,parsed_collection_date
15,"Roskilde Fjord, Denmark",Control,2015-05 (72 hour acclimation),3,10  / (40 x 20 cm),20,16,8,150,µmol photos m-2 s-1,144 ± 14,µmol photos m-2 s-1,calculate,NA,15,22.4 +/- 1.1,8.3 +/- 1,np,np,np,np,0,0 µM,0 µM,didn't check,NA,NA,NA,np,NA,NA,NA,NA,NA,control,lab mesocosm,no,144,150,16,NA,Moreno-marin et al.,2018,55.8080047,12.0584461,8.2944,15,2015-05-01
15,"Roskilde Fjord, Denmark",HT,2015-05 (72 hour acclimation),3,10  / (40 x 20 cm),20,16,8,150,µmol photos m-2 s-1,144 ± 14,µmol photos m-2 s-1,calculate,NA,25,22.4 +/- 1.1,8.3 +/- 1,np,np,np,np,0,0 µM,0 µM,didn't check,NA,NA,NA,np,NA,NA,NA,NA,NA,temperature,lab mesocosm,no,144,150,16,NA,Moreno-marin et al.,2018,55.8080047,12.0584461,8.2944,25,2015-05-01
15,"Roskilde Fjord, Denmark",LL,2015-05 (72 hour acclimation),3,10  / (40 x 20 cm),20,16,8,150,µmol photos m-2 s-1,37 ± 6,µmol photos m-2 s-1,calculate,NA,15,22.4 +/- 1.1,8.3 +/- 1,np,np,np,np,0,0 µM,0 µM,didn't check,NA,NA,NA,np,NA,NA,NA,NA,NA,light,lab mesocosm,no,37,150,16,NA,Moreno-marin et al.,2018,55.8080047,12.0584461,2.1312,15,2015-05-01
15,"Roskilde Fjord, Denmark",HN,2015-05 (72 hour acclimation),3,10  / (40 x 20 cm),20,16,8,150,µmol photos m-2 s-1,144 ± 14,µmol photos m-2 s-1,calculate,NA,15,22.4 +/- 1.1,8.3 +/- 1,np,np,np,np,375 µmol aquarium-1 d-,25 µM,5.7 +/- 8.8 µM,didn't check,NA,NA,NA,np,NA,NA,NA,average NH4 at end of week,NA,nutrients,lab mesocosm,no,144,150,16,NA,Moreno-marin et al.,2018,55.8080047,12.0584461,8.2944,15,2015-05-01
15,"Roskilde Fjord, Denmark",HT + LL,2015-05 (72 hour acclimation),3,10  / (40 x 20 cm),20,16,8,150,µmol photos m-2 s-1,37 ± 6,µmol photos m-2 s-1,calculate,NA,25,22.4 +/- 1.1,8.3 +/- 1,np,np,np,np,0,0 µM,0 µM,didn't check,NA,NA,NA,np,NA,NA,NA,NA,NA,temperature; light,lab mesocosm,no,37,150,16,NA,Moreno-marin et al.,2018,55.8080047,12.0584461,2.1312,25,2015-05-01
15,"Roskilde Fjord, Denmark",HT + HN,2015-05 (72 hour acclimation),3,10  / (40 x 20 cm),20,16,8,150,µmol photos m-2 s-1,144 ± 14,µmol photos m-2 s-1,calculate,NA,25,22.4 +/- 1.1,8.3 +/- 1,np,np,np,np,375 µmol aquarium-1 d-,25 µM,5.7 +/- 8.8 µM,didn't check,NA,NA,NA,np,NA,NA,NA,average NH4 at end of week,NA,temperature; nutrients,lab mesocosm,no,144,150,16,NA,Moreno-marin et al.,2018,55.8080047,12.0584461,8.2944,25,2015-05-01
15,"Roskilde Fjord, Denmark",LL + HN,2015-05 (72 hour acclimation),3,10  / (40 x 20 cm),20,16,8,150,µmol photos m-2 s-1,37 ± 6,µmol photos m-2 s-1,calculate,NA,15,22.4 +/- 1.1,8.3 +/- 1,np,np,np,np,375 µmol aquarium-1 d-,25 µM,22.9 +/- 22.8 µM,didn't check,NA,NA,NA,np,NA,NA,NA,average NH4 at end of week,NA,light; nutrients,lab mesocosm,no,37,150,16,NA,Moreno-marin et al.,2018,55.8080047,12.0584461,2.1312,15,2015-05-01
15,"Roskilde Fjord, Denmark",HT + LL + HN,2015-05 (72 hour acclimation),3,10  / (40 x 20 cm),20,16,8,150,µmol photos m-2 s-1,37 ± 6,µmol photos m-2 s-1,calculate,NA,25,22.4 +/- 1.1,8.3 +/- 1,np,np,np,np,375 µmol aquarium-1 d-,25 µM,22.9 +/- 22.8 µM,didn't check,NA,NA,NA,np,NA,NA,NA,average NH4 at end of week,NA,light; temperature,lab mesocosm,no,37,150,16,NA,Moreno-marin et al.,2018,55.8080047,12.0584461,2.1312,25,2015-05-01
24,"Gullmars fjord, Sweden",HL + pooled T,2014-09 (no acclimation time indicated),10,10 / (38 x 29 cm),42,12,12,calculate,NA,230,µmol photos m-2 s-1,35,10.2 ± 0.84 SD,pooled: 12 or 20,range: 23 - 33; mean: 27,NA,np,np,np,np,np,np,np,didn't check,NA,NA,NA,np,NA,NA,NA,"have data on change from canopy to bottom in %surface irradiance; there were epiphytes, seemed equal across treatments; back calculated surface irradiance; used local water in aquaria",NA,light; temperature,lab mesocosm,no,230,NA,12,10.2,Eriander,2017,58.261833,11.4935,9.936,12,2014-09-01
24,"Gullmars fjord, Sweden",ML + pooled T,2014-09 (no acclimation time indicated),10,10 / (38 x 29 cm),42,12,12,calculate,NA,115,µmol photos m-2 s-1,18,5.1 ± 0.67 SD,pooled: 12 or 20,range: 23 - 33; mean: 27,NA,np,np,np,np,np,np,np,didn't check,NA,NA,NA,np,NA,NA,NA,"have data on change from canopy to bottom in %surface irradiance; there were epiphytes, seemed equal across treatments; back calculated surface irradiance; used local water in aquaria",NA,light; temperature,lab mesocosm,no,115,NA,12,5.1,Eriander,2017,58.261833,11.4935,4.968,12,2014-09-01
